glycan_ID,residue,residue_ID,name,anomer,absolute,ring,parent_ID,site,form_name
G02251YG,unassigned,14,NeuNAc,a,D,p,N6,x,NeupNAc
G02456AL,unassigned,14,NeuNAc,a,D,p,N6,x,NeupNAc
G02561FC,unassigned,11,Gal,x,D,p,10,x,Galp
G02561FC,unassigned,6,Man,a,D,p,NC,x,Manp
G02561FC,unassigned,7,GlcNAc,x,D,p,6,x,GlcpNAc
G02561FC,unassigned,9,Man,a,D,p,NC,x,Manp
G02561FC,unassigned,10,GlcNAc,x,D,p,9,x,GlcpNAc
G02661MY,unassigned,11,GlcNAc,b,D,p,10,2,GlcpNAc
G02661MY,unassigned,2,Fuc,x,L,p,NA,x,Fucp
G02661MY,unassigned,13,Gal,b,D,p,11,4,Galp
G02661MY,unassigned,7,Man,a,D,p,NC,x,Manp
G02661MY,unassigned,8,GlcNAc,b,D,p,7,2,GlcpNAc
G02661MY,unassigned,10,Man,a,D,p,NC,x,Manp
G02760XH,unassigned,12,GlcNAc,b,D,p,N1,6,GlcpNAc
G02760XH,unassigned,14,Gal,b,D,p,12,4,Galp
G02760XH,unassigned,15,NeuNAc,a,D,p,14,3,NeupNAc
G02786XX,unassigned,45,Fuc,a,L,p,N36,3,Fucp
G02786XX,unassigned,24,Fuc,a,L,p,N75,3,Fucp
G02786XX,unassigned,47,GlcNAc,b,D,p,N37,3,GlcpNAc
G02786XX,unassigned,26,GlcNAc,b,D,p,N80,3,GlcpNAc
G02786XX,unassigned,49,Fuc,a,L,p,47,3,Fucp
G02786XX,unassigned,28,Fuc,a,L,p,26,3,Fucp
G02786XX,unassigned,29,Gal,b,D,p,26,4,Galp
G02786XX,unassigned,50,Gal,b,D,p,47,4,Galp
G02786XX,unassigned,16,NeuNAc,a,D,p,N77,6,NeupNAc
G03479ZN,unassigned,15,NeuNAc,a,D,p,N8,x,NeupNAc
G03479ZN,unassigned,10,NeuNAc,a,D,p,N3,x,NeupNAc
G03479ZN,unassigned,21,NeuNAc,a,D,p,N6,x,NeupNAc
G03584KV,unassigned,11,Man,a,D,p,NC,x,Manp
G03584KV,unassigned,12,GlcNAc,b,D,p,11,2,GlcpNAc
G03584KV,unassigned,2,Fuc,a,L,p,NA,x,Fucp
G03584KV,unassigned,13,Gal,b,D,p,12,x,Galp
G03584KV,unassigned,14,NeuNAc,a,D,p,13,x,NeupNAc
G03584KV,unassigned,7,Man,a,D,p,NC,x,Manp
G03584KV,unassigned,8,GlcNAc,b,D,p,7,2,GlcpNAc
G03584KV,unassigned,9,Gal,b,D,p,8,x,Galp
G03605AV,unassigned,16,GlcNAc,b,D,p,N8,6,GlcpNAc
G03605AV,unassigned,18,Fuc,a,L,p,16,3,Fucp
G03605AV,unassigned,19,Gal,b,D,p,16,4,Galp
G03802LT,unassigned,11,Man,x,D,p,10,x,Manp
G03802LT,unassigned,6,Man,a,D,p,NC,3|6,Manp
G03802LT,unassigned,7,GlcNAc,x,D,p,6,x,GlcpNAc
G03802LT,unassigned,8,Gal,x,D,p,7,x,Galp
G03802LT,unassigned,10,Man,a,D,p,NC,3|6,Manp
G03860PZ,unassigned,6,Man,a,D,p,NC,x,Manp
G03860PZ,unassigned,7,Man,a,D,p,NC,x,Manp
G03860PZ,unassigned,8,GlcNAc,b,D,p,7,x,GlcpNAc
G03860PZ,unassigned,9,Gal,b,D,p,8,x,Galp
G04286YE,unassigned,13,GlcNAc,b,D,p,N4,2|4,GlcpNAc
G04286YE,unassigned,15,Gal,b,D,p,13,4,Galp
G04286YE,unassigned,16,NeuNAc,a,D,p,15,6,NeupNAc
G04286YE,unassigned,7,GlcNAc,b,D,p,N1,2|4,GlcpNAc
G04286YE,unassigned,9,Gal,b,D,p,7,4,Galp
G04286YE,unassigned,10,NeuNAc,a,D,p,9,6,NeupNAc
G04423CA,unassigned,12,GlcNAc,b,D,p,N1,6,GlcpNAc
G04423CA,unassigned,14,Gal,b,D,p,12,4,Galp
G04423CA,unassigned,15,NeuNAc,a,D,p,14,3,NeupNAc
G04561MG,unassigned,12,GlcNAc,b,D,p,N4,2|4,GlcpNAc
G04561MG,unassigned,14,Fuc,a,L,p,12,3,Fucp
G04561MG,unassigned,15,Gal,b,D,p,12,4,Galp
G04561MG,unassigned,7,GlcNAc,b,D,p,N1,2|4,GlcpNAc
G04561MG,unassigned,9,Fuc,a,L,p,7,3,Fucp
G04561MG,unassigned,10,Gal,b,D,p,7,4,Galp
G04909DG,unassigned,11,GlcNAc,x,D,p,10,x,GlcpNAc
G04909DG,unassigned,12,Gal,x,D,p,11,x,Galp
G04909DG,unassigned,13,NeuNAc,x,D,p,12,x,NeupNAc
G04909DG,unassigned,6,Man,a,D,p,NC,3|6,Manp
G04909DG,unassigned,7,GlcNAc,x,D,p,6,x,GlcpNAc
G04909DG,unassigned,8,Gal,x,D,p,7,x,Galp
G04909DG,unassigned,10,Man,a,D,p,NC,3|6,Manp
G05098FE,unassigned,12,GlcNAc,b,D,p,6,4,GlcpNAc
G05098FE,unassigned,14,Gal,b,D,p,12,4,Galp
G05098FE,unassigned,15,NeuNAc,a,D,p,14,3|6,NeupNAc
G05098FE,unassigned,17,Man,a,D,p,NC,3|6,Manp
G05098FE,unassigned,18,GlcNAc,b,D,p,17,2,GlcpNAc
G05098FE,unassigned,6,Man,a,D,p,NC,3|6,Manp
G05098FE,unassigned,7,GlcNAc,b,D,p,6,2,GlcpNAc
G05098FE,unassigned,9,Gal,b,D,p,7,4,Galp
G05098FE,unassigned,20,Gal,b,D,p,18,4,Galp
G05098FE,unassigned,10,NeuNAc,a,D,p,9,3|6,NeupNAc
G05098FE,unassigned,21,NeuNAc,a,D,p,20,3|6,NeupNAc
G05229BF,unassigned,11,GlcNAc,b,D,p,10,2,GlcpNAc
G05229BF,unassigned,2,Fuc,x,L,p,NA,x,Fucp
G05229BF,unassigned,13,GlcNAc,b,D,p,10,6,GlcpNAc
G05229BF,unassigned,7,Man,a,D,p,NC,x,Manp
G05229BF,unassigned,8,GlcNAc,b,D,p,7,2,GlcpNAc
G05229BF,unassigned,10,Man,a,D,p,NC,x,Manp
G05241IE,unassigned,6,Man,a,D,p,NC,3|6,Manp
G05241IE,unassigned,7,Man,a,D,p,NC,3|6,Manp
G05241IE,unassigned,8,Man,a,D,p,7,3,Manp
G05241IE,unassigned,9,Man,a,D,p,7,6,Manp
G05421KO,unassigned,7,GlcNAc,b,D,p,N1,2|4,GlcpNAc
G05950HG,unassigned,11,GlcNAc,x,D,p,10,2,GlcpNAc
G05950HG,unassigned,13,Gal,x,D,p,11,4,Galp
G05950HG,unassigned,14,NeuNAc,x,D,p,13,3,NeupNAc
G05950HG,unassigned,16,Fuc,x,L,p,NA,6,Fucp
G05950HG,unassigned,6,Man,a,D,p,NC,x,Manp
G05950HG,unassigned,7,GlcNAc,x,D,p,6,2,GlcpNAc
G05950HG,unassigned,9,Gal,x,D,p,7,4,Galp
G05950HG,unassigned,10,Man,a,D,p,NC,x,Manp
G05979RR,unassigned,10,Gal,b,D,p,N3,3,Galp
G06100EH,unassigned,11,Man,a,D,p,NC,3|6,Manp
G06100EH,unassigned,12,GlcNAc,x,D,p,11,x,GlcpNAc
G06100EH,unassigned,13,Gal,x,D,p,12,x,Galp
G06100EH,unassigned,14,NeuNAc,x,D,p,13,x,NeupNAc
G06100EH,unassigned,6,Man,a,D,p,NC,3|6,Manp
G06100EH,unassigned,7,GlcNAc,x,D,p,6,x,GlcpNAc
G06100EH,unassigned,8,Fuc,x,L,p,7,x,Fucp
G06100EH,unassigned,9,Gal,x,D,p,7,x,Galp
G06534UH,unassigned,7,GlcNAc,b,D,p,N1,2|4,GlcpNAc
G06534UH,unassigned,9,Gal,b,D,p,7,4,Galp
G06772YH,unassigned,9,GlcNAc,b,D,p,N1,6,GlcpNAc
G06830II,unassigned,7,Man,a,D,p,N1,3,Manp
G06830II,unassigned,8,Man,a,D,p,N1,6,Manp
G06830JN,unassigned,12,GlcNAc,x,D,p,N4,x,GlcpNAc
G06830JN,unassigned,13,Fuc,x,L,p,12,x,Fucp
G06830JN,unassigned,14,Gal,x,D,p,12,x,Galp
G06830JN,unassigned,7,GlcNAc,x,D,p,N1,x,GlcpNAc
G06830JN,unassigned,8,Fuc,x,L,p,7,x,Fucp
G06830JN,unassigned,9,Gal,x,D,p,7,x,Galp
G07265CE,unassigned,15,NeuNAc,a,D,p,N8,3|6,NeupNAc
G07265CE,unassigned,10,NeuNAc,a,D,p,N3,3|6,NeupNAc
G07265CE,unassigned,21,NeuNAc,a,D,p,N6,3|6,NeupNAc
G07493GF,unassigned,11,Man,a,D,p,NC,3|6,Manp
G07493GF,unassigned,12,GlcNAc,x,D,p,11,x,GlcpNAc
G07493GF,unassigned,14,GlcNAc,x,D,p,11,x,GlcpNAc
G07493GF,unassigned,6,Man,a,D,p,NC,3|6,Manp
G07493GF,unassigned,7,GlcNAc,x,D,p,6,x,GlcpNAc
G07493GF,unassigned,9,GlcNAc,x,D,p,6,x,GlcpNAc
G07682PQ,unassigned,12,GlcNAc,x,D,p,N4,x,GlcpNAc
G07682PQ,unassigned,14,Fuc,a,L,p,12,3,Fucp
G07682PQ,unassigned,15,Gal,b,D,p,12,4,Galp
G07682PQ,unassigned,7,GlcNAc,x,D,p,N1,x,GlcpNAc
G07682PQ,unassigned,9,Fuc,a,L,p,7,3,Fucp
G07682PQ,unassigned,10,Gal,b,D,p,7,4,Galp
G07703ST,unassigned,12,GlcNAc,b,D,p,N1,6,GlcpNAc
G07703ST,unassigned,14,Gal,b,D,p,12,4,Galp
G07703ST,unassigned,15,NeuNAc,a,D,p,14,3,NeupNAc
